"TestCaseID","Module","Screen","Route","TaskID","Title","Type","Priority","Precondition","Steps","TestData","ExpectedResult"
"TC-031-09","Teacher","Trang chủ (Dashboard)","/dashboard","031","ProgressWidget hiển thị tiến độ học tập","Functional","Medium","Có dữ liệu tiến độ lớp","1. Truy cập `/dashboard` | 2. Quan sát widget Tiến độ học tập","Danh sách lớp + % tiến độ","Hiển thị progress bar hoặc donut chart theo từng lớp"
"TC-031-10","Teacher","Trang chủ (Dashboard)","/dashboard","031","LessonPlanWidget hiển thị giáo án gần đây","Functional","Medium","Có giáo án gần đây","1. Truy cập `/dashboard` | 2. Quan sát widget Giáo án gần đây","Tối đa 3 giáo án","Hiển thị tên unit, lớp, % đã giảng cho tối đa 3 giáo án gần nhất"
"TC-031-11","Teacher","Trang chủ (Dashboard)","/dashboard","031","Nhấn ""Xem tất cả"" ở Lịch dạy hôm nay","Functional","High","ScheduleWidget hiển thị bình thường","1. Truy cập `/dashboard` | 2. Click link ""Xem tất cả"" trong ScheduleWidget","N/A","Điều hướng sang route `/schedule`"
"TC-031-12","Teacher","Trang chủ (Dashboard)","/dashboard","031","Nhấn ""Xem tất cả"" ở Thông báo","Functional","High","NotificationWidget hiển thị bình thường","1. Truy cập `/dashboard` | 2. Click link ""Xem tất cả"" trong NotificationWidget","N/A","Điều hướng sang route `/notifications`"
"TC-031-13","Teacher","Trang chủ (Dashboard)","/dashboard","031","Nhấn ""Xem chi tiết"" ở AttendanceWidget","Functional","Medium","AttendanceWidget hiển thị bình thường","1. Truy cập `/dashboard` | 2. Click ""Xem chi tiết""","N/A","Điều hướng sang route `/attendance`"
"TC-031-14","Teacher","Trang chủ (Dashboard)","/dashboard","031","Nhấn ""Xem tất cả"" ở HomeworkWidget","Functional","Medium","HomeworkWidget hiển thị bình thường","1. Truy cập `/dashboard` | 2. Click ""Xem tất cả"" trong HomeworkWidget","N/A","Điều hướng sang route `/homework/review`"
"TC-031-15","Teacher","Trang chủ (Dashboard)","/dashboard","031","API dashboard summary lỗi","Error-Handling","High","Server trả lỗi cho GET /api/teacher/dashboard/summary","1. Giả lập API summary trả 500 | 2. Truy cập `/dashboard`","HTTP 500","Các widget phụ thuộc summary hiển thị icon lỗi + nút ""Thử lại"", các widget khác vẫn hoạt động, trang không crash"
"TC-031-16","Teacher","Trang chủ (Dashboard)","/dashboard","031","API notifications lỗi","Error-Handling","Medium","Server trả lỗi cho GET /api/teacher/notifications","1. Giả lập API notifications trả 500 | 2. Truy cập `/dashboard`","HTTP 500","NotificationWidget hiển thị icon lỗi + nút ""Thử lại"", không ảnh hưởng các widget khác"
"TC-031-17","Teacher","Trang chủ (Dashboard)","/dashboard","031","Nhấn nút ""Thử lại"" trên widget lỗi","Error-Handling","Medium","Widget đang ở trạng thái lỗi","1. Sau khi widget hiển thị lỗi, click nút ""Thử lại""","N/A","Widget gọi lại đúng API tương ứng, hiển thị dữ liệu nếu thành công"
"TC-031-18","Teacher","Trang chủ (Dashboard)","/dashboard","031","Refresh trang dashboard","Functional","Medium","Đã load trang dashboard","1. Truy cập `/dashboard` | 2. Nhấn F5 hoặc reload trình duyệt","N/A","Toàn bộ API (summary, notifications) được gọi lại (re-fetch)"
"TC-031-19","Teacher","Trang chủ (Dashboard)","/dashboard","031","Truy cập /dashboard khi chưa đăng nhập","Permission","High","Chưa đăng nhập / token hết hạn","1. Xóa token đăng nhập | 2. Truy cập `/dashboard`","N/A","Bị chuyển hướng về trang đăng nhập, không hiển thị nội dung dashboard"
"TC-031-20","Teacher","Trang chủ (Dashboard)","/dashboard","031","Trạng thái loading khi đang tải dữ liệu","UI-Validation","Low","Network chậm hoặc giả lập delay","1. Truy cập `/dashboard` | 2. Quan sát các widget trong lúc đang fetch API","N/A","Mỗi widget hiển thị skeleton loader cho đến khi có dữ liệu"
"TC-032-01","Teacher","Thông báo","/notifications","032","Load trang thông báo thành công","Functional","High","Đã đăng nhập","1. Truy cập `/notifications` | 2. Quan sát panel giữa và badge","GET /api/teacher/notifications?page=1&limit=20&category=all&status=all trả 200, total=77, unread_count=12","Hiển thị danh sách thông báo (tối đa 20 item/trang) và badge đếm số chưa đọc = 12"
"TC-032-02","Teacher","Thông báo","/notifications","032","Lọc trạng thái ""Chưa đọc""","Functional","High","Đang ở trang notifications","1. Chọn radio ""Chưa đọc"" trong panel Trạng thái | 2. Quan sát danh sách","status=unread","Chỉ hiển thị các thông báo có is_read=false"
"TC-032-03","Teacher","Thông báo","/notifications","032","Lọc trạng thái ""Đã đọc""","Functional","Medium","Đang ở trang notifications","1. Chọn radio ""Đã đọc"" | 2. Quan sát danh sách","status=read","Chỉ hiển thị các thông báo có is_read=true"
"TC-032-04","Teacher","Thông báo","/notifications","032","Click vào 1 thông báo để xem chi tiết","Functional","High","Danh sách có ít nhất 1 thông báo chưa đọc","1. Click vào 1 item trong NotificationTable | 2. Quan sát panel phải","GET /api/teacher/notifications/{id}, POST /api/teacher/notifications/{id}/read","Mở NotificationDetail hiển thị tiêu đề, ngày giờ đầy đủ, nội dung HTML, tự động gọi API mark as read, dot chưa đọc biến mất"
"TC-032-05","Teacher","Thông báo","/notifications","032","Nhấn ""Đánh dấu tất cả đã đọc""","Functional","High","Có ít nhất 1 thông báo chưa đọc","1. Click button ""Đánh dấu tất cả đã đọc"" ở header","POST /api/teacher/notifications/read-all trả {success:true, updated_count:12}","UI cập nhật ngay (optimistic update): tất cả dot chưa đọc biến mất, badge count về 0"
"TC-032-06","Teacher","Thông báo","/notifications","032","Lọc theo danh mục (category)","Functional","Medium","Có nhiều category (meeting, lịch học, bài tập, hệ thống...)","1. Chọn 1 category trong panel Danh mục, ví dụ ""meeting"" | 2. Quan sát danh sách","category=meeting","Chỉ hiển thị thông báo đúng category đã chọn"
"TC-032-07","Teacher","Thông báo","/notifications","032","Lọc theo khoảng thời gian","Functional","Medium","Có thông báo trải nhiều ngày","1. Chọn khoảng ngày trong date range picker","date_from=2025-05-01, date_to=2025-05-31","Chỉ hiển thị thông báo có created_at nằm trong khoảng ngày đã chọn"
"TC-032-08","Teacher","Thông báo","/notifications","032","Phân trang danh sách thông báo","Functional","Medium","Tổng số thông báo > 20 (total=77, last_page=4)","1. Cuộn hoặc click sang trang 2","page=2","Load và hiển thị 20 thông báo tiếp theo"
"TC-032-09","Teacher","Thông báo","/notifications","032","Thông báo có nút hành động","Functional","Medium","Thông báo có action_url và action_label","1. Mở detail 1 thông báo có action_url=""/schedule"", action_label=""Tới đây"" | 2. Click nút hành động","action_url=""/schedule""","Nút hành động ""Tới đây"" hiển thị trong detail, click điều hướng đến /schedule"
"TC-032-10","Teacher","Thông báo","/notifications","032","Không có thông báo nào","Edge-Case","Medium","Danh sách rỗng sau khi lọc","1. Áp dụng filter không khớp thông báo nào","data: []","Hiển thị thông báo ""Không có thông báo"""
"TC-032-11","Teacher","Thông báo","/notifications","032","Đổi filter reset về trang 1","Functional","Medium","Đang ở trang > 1","1. Chuyển sang trang 2 | 2. Đổi filter category hoặc status","N/A","Page tự động reset về 1 và re-fetch danh sách"
"TC-032-12","Teacher","Thông báo","/notifications","032","URL đồng bộ với filter","UI-Validation","Low","Đang ở trang notifications","1. Chọn category=meeting và status=unread","N/A","URL cập nhật thành `/notifications?category=meeting&status=unread`"
"TC-032-13","Teacher","Thông báo","/notifications","032","Filter được giữ khi chuyển tab trong session","Functional","Low","Đã áp dụng filter trước đó","1. Áp dụng filter category=meeting | 2. Chuyển sang tab/màn hình khác rồi quay lại `/notifications` trong cùng session","N/A","Filter category=meeting vẫn được giữ nguyên"
"TC-032-14","Teacher","Thông báo","/notifications","032","Trạng thái hiển thị dot/bold khi chưa đọc","UI-Validation","Low","Có thông báo chưa đọc","1. Quan sát item chưa đọc trong danh sách","is_read=false","Item hiển thị dot xanh và tiêu đề in đậm (bold)"
"TC-032-15","Teacher","Thông báo","/notifications","032","NotificationDetail hiển thị ảnh đính kèm","UI-Validation","Low","Thông báo có image_url","1. Click mở thông báo có image_url","image_url=""https://...""","Ảnh đính kèm hiển thị trong panel detail"
"TC-032-16","Teacher","Thông báo","/notifications","032","API lấy danh sách thông báo lỗi","Error-Handling","High","Giả lập lỗi server","1. Giả lập GET /api/teacher/notifications trả 500 | 2. Truy cập `/notifications`","HTTP 500","Hiển thị thông báo lỗi, trang không bị crash"
"TC-032-17","Teacher","Thông báo","/notifications","032","API mark-all-read thất bại","Error-Handling","Medium","Giả lập lỗi server","1. Click ""Đánh dấu tất cả đã đọc"" | 2. Giả lập POST read-all trả 500","HTTP 500","Optimistic update được rollback, hiển thị thông báo lỗi cho người dùng"
"TC-032-18","Teacher","Thông báo","/notifications","032","Hover vào 1 item trong danh sách","UI-Validation","Low","Danh sách có dữ liệu","1. Di chuột qua 1 item trong NotificationTable","N/A","Row được highlight"
"TC-032-19","Teacher","Thông báo","/notifications","032","Truy cập /notifications khi chưa đăng nhập","Permission","High","Chưa đăng nhập / token hết hạn","1. Xóa token đăng nhập | 2. Truy cập `/notifications`","N/A","Bị chuyển hướng về trang đăng nhập"
"TC-032-20","Teacher","Thông báo","/notifications","032","Badge ""Tất cả thông báo"" hiển thị đúng tổng số","Functional","Low","total=77 theo dữ liệu API","1. Truy cập `/notifications` | 2. Quan sát mục ""Tất cả thông báo"" trong panel Danh mục","total=77","Badge hiển thị đúng số 77"
"TC-033-01","Teacher","Lịch dạy","/schedule","033","Load trang lịch dạy mặc định (tuần)","Functional","High","Có lịch dạy trong tuần hiện tại","1. Truy cập `/schedule`","GET /api/teacher/schedules?view=week&date=2025-05-18 trả 200","Hiển thị WeekCalendar của tuần hiện tại với các buổi học đã có"
"TC-033-02","Teacher","Lịch dạy","/schedule","033","Chuyển sang chế độ xem Tháng","Functional","High","Đang ở chế độ Tuần","1. Click tab ""Tháng"" trên ScheduleToolbar","view=month","Hiển thị MonthCalendar dạng lưới 7 cột x ~6 hàng"
"TC-033-03","Teacher","Lịch dạy","/schedule","033","Điều hướng lùi (nút ←)","Functional","Medium","Đang ở chế độ Tuần hoặc Tháng","1. Click nút ""←""","N/A","Lùi về tuần/tháng trước, danh sách lịch cập nhật theo khoảng ngày mới"
"TC-033-04","Teacher","Lịch dạy","/schedule","033","Điều hướng tiến (nút →)","Functional","Medium","Đang ở chế độ Tuần hoặc Tháng","1. Click nút ""→""","N/A","Tiến tới tuần/tháng sau, danh sách lịch cập nhật theo khoảng ngày mới"
"TC-033-05","Teacher","Lịch dạy","/schedule","033","Click vào block buổi học","Functional","High","Có ít nhất 1 buổi học trong lịch","1. Click vào 1 block buổi học trong WeekCalendar","GET /api/teacher/schedules/{id} trả 200","Mở ScheduleDetailDrawer hiển thị tên lớp, cấp độ, phòng, thời gian, giáo án, số học viên"
"TC-033-06","Teacher","Lịch dạy","/schedule","033","Nhấn ""Bắt đầu buổi học"" trong Drawer","Functional","High","ScheduleDetailDrawer đang mở","1. Click nút ""Bắt đầu buổi học""","id buổi học","Điều hướng sang route `/lesson/{id}`"
"TC-033-07","Teacher","Lịch dạy","/schedule","033","Nhấn ""Xem chi tiết lớp"" trong Drawer","Functional","Medium","ScheduleDetailDrawer đang mở","1. Click nút ""Xem chi tiết lớp""","class_id","Điều hướng sang route `/classroom/{id}`"
"TC-033-08","Teacher","Lịch dạy","/schedule","033","Ngày không có lịch dạy","Edge-Case","Medium","Ngày/khung giờ trống lịch","1. Truy cập tuần không có buổi học nào","data: []","Các ô/khung giờ hiển thị rỗng, không gây lỗi hiển thị"
"TC-033-09","Teacher","Lịch dạy","/schedule","033","Tìm kiếm lớp trong Schedule","Functional","Medium","Có nhiều lớp trong lịch","1. Nhập tên lớp vào ô ""Tìm kiếm lớp...""","Ví dụ ""Starters 2A""","Chỉ hiển thị các buổi học thuộc lớp có tên khớp từ khóa tìm kiếm"
"TC-033-10","Teacher","Lịch dạy","/schedule","033","Responsive trên mobile","UI-Validation","Low","Truy cập bằng màn hình mobile","1. Truy cập `/schedule` trên viewport mobile","N/A","Hiển thị chế độ Day view thay vì Week/Month view"
"TC-033-11","Teacher","Lịch dạy","/schedule","033","Xem thêm khi ngày có nhiều hơn 3 buổi học (Tháng)","Functional","Medium","Ngày có > 3 buổi học trong MonthCalendar","1. Chuyển sang chế độ Tháng | 2. Quan sát ô ngày có nhiều buổi học","Ngày có 4+ buổi","Ô ngày hiển thị tối đa 3 buổi + link ""Xem thêm +N"""
"TC-033-12","Teacher","Lịch dạy","/schedule","033","Click vào ngày trong MonthCalendar","Functional","Medium","Đang ở chế độ Tháng","1. Click vào 1 ô ngày","N/A","Mở DayView sidebar hiển thị chi tiết các buổi học của ngày đó"
"TC-033-13","Teacher","Lịch dạy","/schedule","033","ScheduleSidebar hiển thị đúng số liệu tổng quan","Functional","Medium","API schedules trả summary","1. Truy cập `/schedule` | 2. Quan sát panel phải","summary.total_classes=3, summary.total_students=72","Hiển thị đúng ""Lớp chủ nhiệm: 3"" và ""Học viên: 72"""
"TC-033-14","Teacher","Lịch dạy","/schedule","033","Mini calendar highlight ngày có lịch","UI-Validation","Low","Có lịch dạy trong tháng","1. Quan sát mini calendar trong ScheduleSidebar","N/A","Các ngày có buổi dạy được highlight trên mini calendar"
"TC-033-15","Teacher","Lịch dạy","/schedule","033","Nút ""Thêm lịch dạy"" chỉ hiển thị khi có quyền","Permission","Medium","Tài khoản không có quyền thêm lịch","1. Đăng nhập tài khoản không có quyền tạo lịch | 2. Truy cập `/schedule`","N/A","Nút ""Thêm lịch dạy"" không hiển thị trên ScheduleToolbar"
"TC-033-16","Teacher","Lịch dạy","/schedule","033","API danh sách lịch dạy lỗi","Error-Handling","High","Giả lập lỗi server","1. Giả lập GET /api/teacher/schedules trả 500 | 2. Truy cập `/schedule`","HTTP 500","Hiển thị thông báo lỗi, trang không crash"
"TC-033-17","Teacher","Lịch dạy","/schedule","033","API chi tiết buổi học lỗi/không tồn tại","Error-Handling","Medium","id buổi học không hợp lệ","1. Click vào 1 block, giả lập GET schedules/{id} trả 404","HTTP 404","Drawer hiển thị thông báo lỗi thay vì dữ liệu trống hoặc crash"
"TC-033-18","Teacher","Lịch dạy","/schedule","033","Hiển thị đúng trạng thái buổi học","UI-Validation","Medium","Có buổi học ở các trạng thái khác nhau","1. Quan sát các block có status khác nhau (upcoming/ongoing/done)","status=upcoming/ongoing/done","Hiển thị đúng nhãn Sắp tới / Đang diễn ra / Đã xong tương ứng"
"TC-033-19","Teacher","Lịch dạy","/schedule","033","Truy cập /schedule khi chưa đăng nhập","Permission","High","Chưa đăng nhập / token hết hạn","1. Xóa token đăng nhập | 2. Truy cập `/schedule`","N/A","Bị chuyển hướng về trang đăng nhập"
"TC-033-20","Teacher","Lịch dạy","/schedule","033","Lọc theo class_id qua URL","Functional","Low","Truy cập URL có query class_id","1. Truy cập `/schedule?class_id=10`","class_id=10","Chỉ hiển thị lịch dạy của lớp có id=10"
"TC-034-01","Teacher","Lớp học","/classroom","034","Load trang danh sách lớp học","Functional","High","Có ≥1 lớp được phân công","1. Truy cập `/classroom`","—","Gọi `GET /api/teacher/classrooms`, hiển thị danh sách lớp + 4 thẻ thống kê (Lớp chủ nhiệm/Học viên tổng/Lớp đang hoạt động/Tỷ lệ hoàn thành) đúng theo `summary` trả về"
"TC-034-02","Teacher","Lớp học","/classroom","034","Tìm kiếm theo tên lớp","Functional","High","Có nhiều lớp với tên khác nhau","1. Nhập từ khóa vào ô ""Tìm tên lớp, học viên..."" | 2. Quan sát danh sách","search=""Starters""","Gọi API kèm `search=Starters`, danh sách lọc realtime chỉ còn lớp khớp"
"TC-034-03","Teacher","Lớp học","/classroom","034","Lọc theo trường (school)","Functional","Medium","Có nhiều trường/chi nhánh","1. Chọn 1 giá trị trong dropdown ""Tất cả trường""","school_id=X","Danh sách chỉ hiển thị lớp thuộc trường đã chọn"
"TC-034-04","Teacher","Lớp học","/classroom","034","Lọc theo lớp","Functional","Medium","Có dropdown ""Tất cả lớp"" với danh sách lớp","1. Chọn 1 lớp cụ thể trong dropdown ""Tất cả lớp""","class_id=X","Danh sách được lọc đúng theo `class_id`"
"TC-034-05","Teacher","Lớp học","/classroom","034","Click card lớp để xem chi tiết","Functional","High","Có ≥1 lớp","1. Click vào 1 ClassroomCard (không trúng action button)","—","Điều hướng sang `/classroom/{id}`"
"TC-034-06","Teacher","Lớp học","/classroom","034","Click action ""Xem chi tiết""","Functional","High","Có ≥1 lớp","1. Click nút ""Xem chi tiết"" trên card","—","Navigate `/classroom/{id}`"
"TC-034-07","Teacher","Lớp học","/classroom","034","Click action ""Điểm danh""","Functional","High","Có ≥1 lớp","1. Click nút ""Điểm danh"" trên card","—","Navigate `/attendance` kèm `class_id` tương ứng"
"TC-034-08","Teacher","Lớp học","/classroom","034","Click action ""Giáo án""","Functional","Medium","Có ≥1 lớp","1. Click nút ""Giáo án"" trên card","—","Điều hướng sang màn Giáo án liên quan tới lớp đó"
"TC-034-09","Teacher","Lớp học","/classroom","034","Click action ""Bài tập""","Functional","Medium","Có ≥1 lớp","1. Click nút ""Bài tập"" trên card","—","Điều hướng sang màn Bài tập liên quan tới lớp đó"
"TC-034-10","Teacher","Lớp học","/classroom","034","Toggle sang chế độ xem Grid","UI-Validation","Medium","—","1. Click icon Grid (⊞) trong toolbar","viewMode=grid","`classroomStore.setViewMode('grid')`, danh sách hiển thị dạng lưới 2-3 cột (ảnh, tên, % tiến độ)"
"TC-034-11","Teacher","Lớp học","/classroom","034","Toggle lại chế độ xem List","UI-Validation","Low","Đang ở Grid view","1. Click icon List (≡)","viewMode=list","Danh sách trở lại dạng list card đầy đủ thông tin"
"TC-034-12","Teacher","Lớp học","/classroom","034","Không có lớp nào được phân công","Edge-Case","Medium","Tài khoản Teacher chưa được phân công lớp nào","1. Truy cập `/classroom` với tài khoản không có lớp","—","Hiển thị EmptyState: icon + ""Bạn chưa được phân công lớp nào"""
"TC-034-13","Teacher","Lớp học","/classroom","034","Phân trang / load thêm","Functional","Medium","Số lớp > `limit` mặc định (20)","1. Cuộn xuống cuối danh sách hoặc bấm nút phân trang","page=2","Gọi API với `page=2`, load thêm dữ liệu tương ứng"
"TC-034-14","Teacher","Lớp học","/classroom","034","Kiểm tra donut chart % tiến độ trên card","UI-Validation","Low","Lớp có `completion_rate`","1. Quan sát card của 1 lớp cụ thể","completion_rate=95","Donut chart hiển thị đúng giá trị % (VD 95%)"
"TC-034-15","Teacher","Lớp học","/classroom","034","Kiểm tra thông tin hiển thị trên card đầy đủ","UI-Validation","Medium","Có ≥1 lớp","1. Quan sát 1 card: ảnh, tên lớp, badge cấp độ, phòng học, ca học, số học viên","—","Đầy đủ đúng field: name, level (badge), room, schedule_days + start_time-end_time, student_count/max_students"
